perc_pixels,cutoff_sol,carbon_strg,prop_carbon_strg,prop_carbon_strg_rounded
0.01,0.99000084400177,57881119.31088638,0.020550815762373675,0.02
0.02,0.9800007939338684,105617473.56258774,0.03749971089560248,0.04
0.03,0.9700007438659668,151672733.63022232,0.05385172992713751,0.05
0.04,0.9600006937980652,194798346.5964775,0.06916357146131208,0.07
0.05,0.9500007033348083,234993879.76065445,0.08343508186681345,0.08
0.060000000000000005,0.9400006532669067,272525180.01848984,0.09676065065511494,0.1
0.06999999999999999,0.9300006031990051,313229539.0794678,0.11121282078843044,0.11
0.08,0.9200006127357483,350298971.0617981,0.12437440225324208,0.12
0.09,0.9100005626678467,388041413.82392883,0.13777493764130944,0.14
0.09999999999999999,0.9000005125999451,425551185.0795326,0.15109286251111598,0.15
0.11,0.8900004625320435,459888073.926754,0.16328424866524707,0.16
0.12,0.8800004720687866,493693032.47530746,0.17528677182404398,0.18
0.13,0.8700012564659119,527516093.83771133,0.18729572242579035,0.19
0.14,0.860001266002655,559355326.5865822,0.19860031041627021,0.2
0.15000000000000002,0.8500012159347534,594004785.4829597,0.21090267523787565,0.21
0.16,0.8400011658668518,633329105.4355087,0.2248648595208854,0.22
0.17,0.8300011157989502,670734354.9498062,0.23814567372188797,0.24
0.18000000000000002,0.8200011253356934,704519865.8974113,0.2501412919681872,0.25
0.19,0.8100010752677917,737645749.0872574,0.2619027079619584,0.26
0.2,0.8000010251998901,769174875.9718094,0.27309719219908446,0.27
0.21000000000000002,0.7900009751319885,800247032.8554192,0.2841294282556276,0.28
0.22,0.7800009846687317,829454920.0119133,0.2944997513403855,0.29
0.23,0.7700009346008301,857484551.3219566,0.3044517321555115,0.3
0.24000000000000002,0.7600008845329285,886252229.4146461,0.31466575806642616,0.31
0.25,0.7500008344650269,919548661.0615501,0.32648772765627987,0.33
0.26,0.74000084400177,953071919.5607643,0.3383902326073581,0.34
0.27,0.7300007939338684,986578781.091671,0.3502869157796118,0.35
0.28,0.7200007438659668,1019999128.6269722,0.3621528819718602,0.36
0.29000000000000004,0.7100006937980652,1052494765.2339058,0.37369052756235477,0.37
0.3,0.7000007033348083,1081659311.5341148,0.3840454623829757,0.38
0.31,0.6900006532669067,1110215816.4811745,0.39418451081485284,0.39
0.32,0.6800006031990051,1143890906.4353676,0.4061409238502141,0.41
0.33,0.6700006127357483,1174105306.4604073,0.41686861149132826,0.42
0.34,0.6600005626678467,1203973358.787281,0.4274733276381197,0.43
0.35000000000000003,0.6500005125999451,1241467434.1628838,0.44078567965201104,0.44
0.36000000000000004,0.6400004625320435,1278773631.926052,0.45403132531597373,0.45
0.37,0.6300004720687866,1320543725.466854,0.46886188676596086,0.47
0.38,0.6200012564659119,1353402352.040638,0.4805284127240285,0.48
0.39,0.610001266002655,1382239901.902073,0.4907672467565478,0.49
0.4,0.6000012159347534,1416749024.9439125,0.5030197850315038,0.5
0.41000000000000003,0.5900011658668518,1446593934.8298225,0.5136162844049121,0.51
0.42000000000000004,0.5800011157989502,1483349844.439045,0.5266665490775845,0.53
0.43,0.5700011253356934,1520116024.739933,0.5397204603813981,0.54
0.44,0.5600010752677917,1563132567.9942589,0.5549935764800282,0.55
0.45,0.5500010251998901,1604772953.5244865,0.5697780848221978,0.57
0.46,0.5400009751319885,1649414974.8461418,0.5856283304007892,0.59
0.47000000000000003,0.5300009846687317,1684460179.5272484,0.5980712056134778,0.6
0.48000000000000004,0.5200009346008301,1716187648.2046394,0.6093361115302662,0.61
0.49,0.5100008845329285,1753417117.5197945,0.6225545145939194,0.62
0.5,0.5000008344650269,1778169668.8725243,0.6313429611297653,0.63
0.51,0.49000081419944763,1821290893.3624992,0.6466532445260085,0.65
0.52,0.4800007939338684,1858963985.1019096,0.6600291566844662,0.66
0.53,0.4700007438659668,1896112050.3237572,0.673218657049903,0.67
0.54,0.4600007236003876,1927657177.435543,0.6844188222020832,0.68
0.55,0.45000067353248596,1957231976.1549034,0.6949194180255047,0.69
0.56,0.44000065326690674,1986950728.1782799,0.7054711247787846,0.71
0.5700000000000001,0.4300006330013275,2013832265.1313286,0.7150154722259087,0.72
0.5800000000000001,0.4200005829334259,2044552899.2265282,0.7259228993612198,0.73
0.59,0.4100005626678467,2063563415.6340752,0.7326726240536654,0.73
0.6,0.40000051259994507,2072965526.91856,0.7360108638645954,0.74
0.61,0.39000049233436584,2095796872.4515724,0.744117182146657,0.74
0.62,0.38000044226646423,2141852620.9387245,0.760469374592591,0.76
0.63,0.37000128626823425,2184705762.4423103,0.7756844745485707,0.78
0.64,0.36000123620033264,2230642175.7426033,0.7919942967800322,0.79
0.65,0.3500012159347534,2279003087.7882805,0.809164942499804,0.81
0.66,0.3400011658668518,2323933845.5711174,0.8251177045792555,0.83
0.67,0.3300011456012726,2365780192.8731575,0.8399753400909928,0.84
0.68,0.32000109553337097,2400831634.6682014,0.8524204298043846,0.85
0.6900000000000001,0.31000107526779175,2427533190.35075,0.8619008745147482,0.86
0.7000000000000001,0.30000102519989014,2455622600.2943535,0.8718740798621474,0.87
0.7100000000000001,0.2900010049343109,2477728514.308422,0.8797228321249004,0.88
0.72,0.2800009548664093,2499800203.6340523,0.8875594328384955,0.89
0.73,0.2700009346008301,2522581118.3413734,0.8956478455475505,0.9
0.74,0.26000088453292847,2543704275.0717583,0.9031476677253887,0.9
0.75,0.25000086426734924,2564660918.474415,0.9105883689884818,0.91
0.76,0.24000082910060883,2584450381.900921,0.9176146604934885,0.92
0.77,0.2300007939338684,2601201721.0467033,0.9235622594455576,0.92
0.78,0.220000758767128,2620314513.567501,0.9303482974917415,0.93
0.79,0.21000072360038757,2637914607.931553,0.9365972488075118,0.94
0.8,0.20000068843364716,2660288342.0778694,0.9445410911836009,0.94
0.81,0.19000065326690674,2674849567.402775,0.9497110855183555,0.95
0.8200000000000001,0.18000061810016632,2688433103.37199,0.9545339491469172,0.95
0.8300000000000001,0.1700005829334259,2702288753.9371567,0.959453427647379,0.96
0.8400000000000001,0.16000054776668549,2715450815.308075,0.964126645814325,0.96
0.85,0.15000051259994507,2729388742.6488953,0.9690753368607449,0.97
0.86,0.14000047743320465,2739623088.2631836,0.9727090632584329,0.97
0.87,0.13000044226646423,2749211191.2248,0.9761133398139105,0.98
0.88,0.12000127136707306,2757384670.435417,0.9790153511674364,0.98
0.89,0.11000123620033264,2764362736.56176,0.9814929285371808,0.98
0.9,0.10000120103359222,2771185647.4011307,0.9839154176889523,0.98
0.91,0.0900011658668518,2778254358.8586655,0.9864251788782777,0.99
0.92,0.08000113815069199,2783030407.343914,0.9881209251537656,0.99
0.93,0.07000110298395157,2787744422.079426,0.989794646213137,0.99
0.9400000000000001,0.06000106781721115,2792067336.097618,0.9913295061225884,0.99
0.9500000000000001,0.050001032650470734,2796229215.7916565,0.9928071904492849,0.99
0.9600000000000001,0.040000997483730316,2800405995.5924835,0.9942901650909078,0.99
0.97,0.0300009623169899,2803856467.492523,0.9955152625519659,1
0.98,0.02000092901289463,2807482738.7911453,0.9968027779671758,1
0.99,0.010000893846154213,2811173625.0010223,0.9981132350454445,1
1,8.597742748861492e-7,2815816270.2281494,0.9997616162075346,1
